beta, IZY, IZX, acc, avg_acc, err, avg_err
1.E-0,-0.0068288278579711915,1.163936972618103,0.1957825803756714,0.44095612287521363,0.8042174196243286,0.5590438771247864
1.E-1,2.293917999267578,8.9176664352417,0.8016895890235901,0.9577996003627777,0.19831041097640992,0.04220039963722229
1.E-2,3.085784368515015,29.26137924194336,0.9660903799533844,0.9878323400020599,0.0339096200466156,0.012167659997940063
1.E-3,3.2026765537261963,77.250244140625,0.9850949573516846,0.988984922170639,0.01490504264831543,0.011015077829360962
1.E-4,3.228623638153076,157.14288330078125,0.9906483089923859,0.9909102582931518,0.009351691007614136,0.009089741706848144
1.E-5,3.226113700866699,258.5916442871094,0.9919187772274017,0.9918794822692871,0.008081222772598267,0.00812051773071289
1.E-6,3.241728639602661,297.7041015625,0.9927046704292297,0.9927963614463806,0.007295329570770264,0.007203638553619385
1.E-7,3.232878632545471,325.96087646484375,0.9901898944377899,0.990176796913147,0.009810105562210084,0.009823203086853027
1.E-8,3.2377216672897338,283.7740478515625,0.9927963614463806,0.9927963614463806,0.007203638553619385,0.007203638553619385
1.E-9,3.2391471004486085,301.2886047363281,0.9931107020378113,0.9930321168899536,0.006889297962188721,0.006967883110046386
1.E-10,3.216476655006409,287.440185546875,0.9863261246681213,0.9862475395202637,0.013673875331878662,0.013752460479736328
1.E-11,3.2307996463775637,320.94061279296875,0.9904387474060059,0.990648307800293,0.009561252593994141,0.00935169219970703
1.E-12,3.2328294134140014,298.59136962890625,0.9907530879974366,0.9910936236381531,0.009246912002563477,0.008906376361846925
