0,-0.2085,104.5794,0.0444,0.0407,0.9556,0.9593,107.95372009277344
1,-0.1650,101.8500,0.0481,0.0556,0.9519,0.9444,105.03489685058594
2,-0.1362,98.9907,0.0667,0.0630,0.9333,0.9370,102.01567077636719
3,-0.1139,95.5684,0.0852,0.0852,0.9148,0.9148,98.45337677001953
4,-0.0860,91.3627,0.0889,0.0926,0.9111,0.9074,94.12384033203125
5,-0.0528,85.8109,0.0963,0.0889,0.9037,0.9111,88.46898651123047
6,-0.0137,78.5609,0.1111,0.1000,0.8889,0.9000,81.14830780029297
7,0.0246,68.8816,0.1556,0.1296,0.8444,0.8704,71.44815826416016
8,0.0647,56.9283,0.1519,0.1704,0.8481,0.8296,59.52827072143555
9,0.0587,42.9416,0.1519,0.2037,0.8481,0.7963,45.67557907104492
10,0.0452,28.8678,0.1630,0.1963,0.8370,0.8037,31.772144317626953
11,-0.0799,16.9539,0.1444,0.1963,0.8556,0.8037,20.130382537841797
12,-0.3695,9.8619,0.1074,0.1852,0.8926,0.8148,13.419942855834961
13,-0.4410,6.5115,0.1222,0.1593,0.8778,0.8407,10.185503005981445
14,-0.4215,4.8722,0.1481,0.1889,0.8519,0.8111,8.548632621765137
15,-0.4553,3.9528,0.1407,0.1889,0.8593,0.8111,7.675318717956543
16,-0.5728,3.4646,0.1444,0.2037,0.8556,0.7963,7.311215877532959
17,-0.6203,3.1710,0.1370,0.1963,0.8630,0.8037,7.068963050842285
18,-0.3854,2.9881,0.1259,0.2259,0.8741,0.7741,6.653532981872559
19,-0.5469,2.8473,0.1000,0.2704,0.9000,0.7296,6.6760334968566895
20,-0.4756,2.7357,0.1519,0.2222,0.8481,0.7778,6.49468994140625
21,-0.4585,2.6352,0.1185,0.2148,0.8815,0.7852,6.378301620483398
22,-0.4129,2.5459,0.1259,0.2407,0.8741,0.7593,6.244611740112305
23,-0.3156,2.4665,0.1519,0.2370,0.8481,0.7630,6.068915843963623
24,-0.3069,2.3904,0.1593,0.2556,0.8407,0.7444,5.985085487365723
25,-0.3548,2.3196,0.1333,0.2741,0.8667,0.7259,5.96310567855835
26,-0.3065,2.2536,0.1593,0.2333,0.8407,0.7667,5.849582672119141
27,-0.3604,2.1988,0.1222,0.2074,0.8778,0.7926,5.849478721618652
28,-0.3587,2.1389,0.1370,0.2926,0.8630,0.7074,5.788558006286621
29,-0.2839,2.0887,0.1259,0.2593,0.8741,0.7407,5.664238929748535
