0,2.7715,178.1552,0.8917,0.8922,0.1083,0.1078
1,2.9165,207.0979,0.9184,0.9184,0.0816,0.0816
2,2.9901,220.2213,0.9344,0.9346,0.0656,0.0654
3,3.0308,231.5075,0.9412,0.9412,0.0588,0.0588
4,3.0609,233.6401,0.9488,0.9488,0.0512,0.0512
5,3.0835,238.7767,0.9527,0.9527,0.0473,0.0473
6,3.1101,243.5312,0.9584,0.9585,0.0416,0.0415
7,3.1256,243.9904,0.9607,0.9608,0.0393,0.0392
8,3.1439,248.9240,0.9647,0.9648,0.0353,0.0352
9,3.1598,248.4371,0.9682,0.9681,0.0318,0.0319
10,3.1637,254.3465,0.9686,0.9687,0.0314,0.0313
11,3.1783,260.8982,0.9713,0.9713,0.0287,0.0287
12,3.1899,263.2664,0.9745,0.9745,0.0255,0.0255
13,3.1898,264.4801,0.9734,0.9732,0.0266,0.0268
14,3.2046,269.8714,0.9779,0.9779,0.0221,0.0221
15,3.2065,273.5092,0.9775,0.9774,0.0225,0.0226
16,3.2176,278.5850,0.9801,0.9801,0.0199,0.0199
17,3.2209,276.0033,0.9807,0.9807,0.0193,0.0193
18,3.2206,283.7823,0.9795,0.9796,0.0205,0.0204
19,3.2254,286.4562,0.9811,0.9811,0.0189,0.0189
20,3.2313,287.3580,0.9822,0.9823,0.0178,0.0177
21,3.2369,296.6583,0.9839,0.9840,0.0161,0.0160
22,3.2416,296.7786,0.9846,0.9845,0.0154,0.0155
23,3.2453,294.3627,0.9856,0.9856,0.0144,0.0144
24,3.2477,296.4715,0.9859,0.9859,0.0141,0.0141
25,3.2470,300.6123,0.9860,0.9860,0.0140,0.0140
26,3.2462,307.0026,0.9848,0.9848,0.0152,0.0152
27,3.2509,306.7582,0.9864,0.9864,0.0136,0.0136
28,3.2566,304.2639,0.9877,0.9877,0.0123,0.0123
29,3.2598,309.4898,0.9880,0.9880,0.0120,0.0120
30,3.2640,310.6407,0.9890,0.9890,0.0110,0.0110
31,3.2646,314.7355,0.9893,0.9894,0.0107,0.0106
32,3.2656,320.2233,0.9894,0.9894,0.0106,0.0106
33,3.2699,319.1615,0.9903,0.9903,0.0097,0.0097
34,3.2694,319.0895,0.9905,0.9906,0.0095,0.0094
35,3.2730,322.0436,0.9910,0.9909,0.0090,0.0091
36,3.2746,323.4005,0.9918,0.9918,0.0082,0.0082
37,3.2772,324.4268,0.9923,0.9922,0.0077,0.0078
38,3.2780,325.8227,0.9925,0.9925,0.0075,0.0075
39,3.2795,326.3585,0.9929,0.9930,0.0071,0.0070
40,3.2818,331.1692,0.9931,0.9931,0.0069,0.0069
41,3.2836,337.8453,0.9936,0.9936,0.0064,0.0064
42,3.2827,337.0306,0.9932,0.9932,0.0068,0.0068
43,3.2842,339.6091,0.9934,0.9934,0.0066,0.0066
44,3.2852,343.4410,0.9935,0.9935,0.0065,0.0065
45,3.2878,347.8253,0.9943,0.9943,0.0057,0.0057
46,3.2882,346.4650,0.9944,0.9944,0.0056,0.0056
47,3.2897,349.5704,0.9950,0.9950,0.0050,0.0050
48,3.2918,352.0851,0.9953,0.9953,0.0047,0.0047
49,3.2899,356.3999,0.9950,0.9950,0.0050,0.0050
50,3.2947,358.2225,0.9962,0.9962,0.0038,0.0038
51,3.2923,356.3454,0.9951,0.9951,0.0049,0.0049
52,3.2960,360.0923,0.9962,0.9962,0.0038,0.0038
53,3.2962,360.8533,0.9965,0.9965,0.0035,0.0035
54,3.2954,359.6526,0.9959,0.9959,0.0041,0.0041
55,3.2960,361.3100,0.9962,0.9962,0.0038,0.0038
56,3.2982,365.4457,0.9967,0.9967,0.0033,0.0033
57,3.2993,367.4279,0.9969,0.9969,0.0031,0.0031
58,3.2998,371.5967,0.9971,0.9971,0.0029,0.0029
59,3.2958,373.6398,0.9955,0.9955,0.0045,0.0045
60,3.3003,373.8968,0.9974,0.9974,0.0026,0.0026
61,3.3018,380.8018,0.9976,0.9976,0.0024,0.0024
62,3.3024,379.4307,0.9977,0.9976,0.0023,0.0024
63,3.3022,380.0586,0.9976,0.9976,0.0024,0.0024
64,3.3015,384.5300,0.9974,0.9974,0.0026,0.0026
65,3.3048,383.2885,0.9983,0.9983,0.0017,0.0017
66,3.3045,387.4534,0.9980,0.9980,0.0020,0.0020
67,3.3045,388.1166,0.9979,0.9979,0.0021,0.0021
68,3.3064,389.0842,0.9985,0.9985,0.0015,0.0015
69,3.3059,392.0636,0.9985,0.9985,0.0015,0.0015
70,3.3071,396.4372,0.9987,0.9987,0.0013,0.0013
71,3.3080,396.1920,0.9989,0.9989,0.0011,0.0011
72,3.3074,397.5923,0.9987,0.9987,0.0013,0.0013
73,3.3082,404.7502,0.9989,0.9989,0.0011,0.0011
74,3.3091,404.6321,0.9991,0.9991,0.0009,0.0009
75,3.3080,406.0855,0.9989,0.9989,0.0011,0.0011
76,3.3088,409.0507,0.9990,0.9989,0.0010,0.0011
77,3.3093,405.3662,0.9991,0.9991,0.0009,0.0009
78,3.3106,410.1604,0.9992,0.9992,0.0008,0.0008
79,3.3107,412.5884,0.9993,0.9993,0.0007,0.0007
80,3.3109,413.8100,0.9994,0.9994,0.0006,0.0006
81,3.3108,416.1928,0.9993,0.9993,0.0007,0.0007
82,3.3112,418.7516,0.9993,0.9993,0.0007,0.0007
83,3.3107,416.2365,0.9992,0.9992,0.0008,0.0008
84,3.3116,419.9482,0.9994,0.9994,0.0006,0.0006
85,3.3126,423.7639,0.9995,0.9995,0.0005,0.0005
86,3.3129,424.8876,0.9996,0.9997,0.0004,0.0003
87,3.3123,424.7412,0.9995,0.9995,0.0005,0.0005
88,3.3133,425.4890,0.9995,0.9996,0.0005,0.0004
89,3.3132,430.4164,0.9996,0.9996,0.0004,0.0004
90,3.3134,432.0478,0.9997,0.9997,0.0003,0.0003
91,3.3139,434.2849,0.9997,0.9997,0.0003,0.0003
92,3.3134,435.1400,0.9997,0.9997,0.0003,0.0003
93,3.3146,437.6599,0.9998,0.9998,0.0002,0.0002
94,3.3144,441.0272,0.9998,0.9998,0.0002,0.0002
95,3.3148,441.9850,0.9997,0.9997,0.0003,0.0003
96,3.3150,443.5835,0.9997,0.9997,0.0003,0.0003
97,3.3149,446.5257,0.9998,0.9998,0.0002,0.0002
98,3.3149,445.7708,0.9999,0.9999,0.0001,0.0001
99,3.3156,449.6979,0.9999,0.9999,0.0001,0.0001
100,3.3156,450.5818,0.9998,0.9998,0.0002,0.0002
101,3.3159,449.7260,0.9999,0.9999,0.0001,0.0001
102,3.3160,452.2253,0.9999,0.9999,0.0001,0.0001
103,3.3155,454.1357,0.9998,0.9998,0.0002,0.0002
104,3.3164,454.7912,0.9999,0.9999,0.0001,0.0001
105,3.3164,455.5789,0.9998,0.9998,0.0002,0.0002
106,3.3167,459.4462,0.9999,0.9999,0.0001,0.0001
107,3.3165,460.7472,0.9999,0.9999,0.0001,0.0001
108,3.3168,463.0676,0.9999,0.9999,0.0001,0.0001
109,3.3170,462.8281,0.9999,0.9999,0.0001,0.0001
