Training beginning...
59: IZY=3.21	IZX=39.64	acc=0.9753	avg_acc=0.9781	err=0.0247	avg_err=0.0219
60: IZY=3.21	IZX=39.67	acc=0.9760	avg_acc=0.9789	err=0.0240	avg_err=0.0211
61: IZY=3.21	IZX=39.64	acc=0.9765	avg_acc=0.9786	err=0.0235	avg_err=0.0214
62: IZY=3.21	IZX=39.32	acc=0.9766	avg_acc=0.9793	err=0.0234	avg_err=0.0207
63: IZY=3.20	IZX=38.63	acc=0.9767	avg_acc=0.9791	err=0.0233	avg_err=0.0209
64: IZY=3.21	IZX=39.01	acc=0.9777	avg_acc=0.9784	err=0.0223	avg_err=0.0216
65: IZY=3.21	IZX=39.00	acc=0.9751	avg_acc=0.9786	err=0.0249	avg_err=0.0214
66: IZY=3.20	IZX=38.73	acc=0.9758	avg_acc=0.9780	err=0.0242	avg_err=0.0220
67: IZY=3.21	IZX=38.94	acc=0.9763	avg_acc=0.9776	err=0.0237	avg_err=0.0224
68: IZY=3.21	IZX=38.43	acc=0.9772	avg_acc=0.9782	err=0.0228	avg_err=0.0218
69: IZY=3.21	IZX=38.40	acc=0.9771	avg_acc=0.9780	err=0.0229	avg_err=0.0220
70: IZY=3.21	IZX=38.19	acc=0.9760	avg_acc=0.9781	err=0.0240	avg_err=0.0219
71: IZY=3.21	IZX=37.77	acc=0.9770	avg_acc=0.9791	err=0.0230	avg_err=0.0209
72: IZY=3.21	IZX=37.63	acc=0.9759	avg_acc=0.9783	err=0.0241	avg_err=0.0217
73: IZY=3.21	IZX=37.91	acc=0.9774	avg_acc=0.9785	err=0.0226	avg_err=0.0215
74: IZY=3.21	IZX=37.47	acc=0.9782	avg_acc=0.9784	err=0.0218	avg_err=0.0216
75: IZY=3.21	IZX=37.16	acc=0.9765	avg_acc=0.9788	err=0.0235	avg_err=0.0212
76: IZY=3.21	IZX=37.65	acc=0.9783	avg_acc=0.9779	err=0.0217	avg_err=0.0221
77: IZY=3.21	IZX=37.24	acc=0.9766	avg_acc=0.9796	err=0.0234	avg_err=0.0204
78: IZY=3.20	IZX=36.50	acc=0.9779	avg_acc=0.9789	err=0.0221	avg_err=0.0211
79: IZY=3.21	IZX=37.02	acc=0.9773	avg_acc=0.9784	err=0.0227	avg_err=0.0216
80: IZY=3.21	IZX=36.56	acc=0.9774	avg_acc=0.9788	err=0.0226	avg_err=0.0212
81: IZY=3.21	IZX=36.18	acc=0.9770	avg_acc=0.9796	err=0.0230	avg_err=0.0204
82: IZY=3.20	IZX=36.24	acc=0.9768	avg_acc=0.9788	err=0.0232	avg_err=0.0212
83: IZY=3.20	IZX=36.54	acc=0.9766	avg_acc=0.9786	err=0.0234	avg_err=0.0214
84: IZY=3.20	IZX=35.99	acc=0.9755	avg_acc=0.9787	err=0.0245	avg_err=0.0213
85: IZY=3.20	IZX=36.12	acc=0.9776	avg_acc=0.9796	err=0.0224	avg_err=0.0204
86: IZY=3.21	IZX=36.05	acc=0.9774	avg_acc=0.9788	err=0.0226	avg_err=0.0212
