beta, IZY, IZX, acc, avg_acc, err, avg_err
1.E-0,0.3082853269577026,0.5487187504768372,0.26040602415800096,0.6849115943908691,0.739593975841999,0.3150884056091309
1.E-1,2.630310559272766,7.767757892608643,0.9126522612571716,0.9911722242832184,0.08734773874282836,0.008827775716781616
1.E-2,3.1832473564147947,22.935550689697266,0.9920628666877747,0.9980353713035583,0.007937133312225342,0.0019646286964416504
1.E-3,3.2690402936935423,63.06785583496094,0.9980484688282013,0.9987033450603485,0.001951531171798706,0.0012966549396514892
1.E-4,3.2908540391921997,123.90806579589844,0.9991224658489227,0.9993451237678528,0.0008775341510772705,0.0006548762321472168
1.E-5,3.2942821168899536,159.4434051513672,0.9991224658489227,0.9992796361446381,0.0008775341510772705,0.0007203638553619385
1.E-6,3.2971143341064453,215.6044921875,0.9993451237678528,0.9993451237678528,0.0006548762321472168,0.0006548762321472168
1.E-7,3.2910494899749754,212.65628051757812,0.9980353713035583,0.9980353713035583,0.0019646286964416504,0.0019646286964416504
1.E-8,3.2883263063430785,244.05776977539062,0.9991617584228516,0.999292733669281,0.0008382415771484375,0.0007072663307189941
1.E-9,3.293960270881653,223.321533203125,1.0,1.0,0.0,0.0
1.E-10,3.2936579513549806,214.71852111816406,0.9988081252574921,0.9987033450603485,0.0011918747425079346,0.0012966549396514892
1.E-11,3.2922030878067017,221.48776245117188,0.9993451237678528,0.9993451237678528,0.0006548762321472168,0.0006548762321472168
1.E-12,3.2951897192001343,219.514892578125,0.9986902475357056,0.9986902475357056,0.0013097524642944336,0.0013097524642944336
