beta, IZY, IZX, acc, avg_acc, err, avg_err
1.E-0,0.021663098335266112,0.5784445405006409,0.18713817983865738,0.39321545243263245,0.8128618201613427,0.6067845475673675
1.E-1,2.310774021148682,7.9825286865234375,0.8312639153003692,0.9481859874725341,0.16873608469963075,0.05181401252746582
1.E-2,3.0607224178314207,27.40810775756836,0.9671119928359986,0.9813097715377808,0.03288800716400146,0.01869022846221924
1.E-3,3.1986137342453005,66.83979034423828,0.9864309048652649,0.988526508808136,0.013569095134735108,0.011473491191864013
1.E-4,3.1909412050247195,119.4032211303711,0.9822658920288085,0.9827766954898834,0.017734107971191407,0.017223304510116576
1.E-5,3.2044673442840574,150.96954345703125,0.988984922170639,0.9891682875156402,0.011015077829360962,0.010831712484359742
1.E-6,3.201628632545471,161.1044158935547,0.9865618801116943,0.986863123178482,0.013438119888305664,0.013136876821517944
1.E-7,3.192489256858826,181.35292053222656,0.9826195251941681,0.9828421831130981,0.017380474805831908,0.017157816886901857
1.E-8,3.194753160476685,183.64964294433594,0.9869024157524109,0.9869024157524109,0.013097584247589111,0.013097584247589111
1.E-9,3.2037589740753174,181.71592712402344,0.9844924712181091,0.9845841538906097,0.01550752878189087,0.01541584610939026
1.E-10,3.206020827293396,183.2252655029297,0.9876751697063446,0.9878716325759888,0.012324830293655395,0.01212836742401123
1.E-11,3.1830975914001467,192.39593505859375,0.9811395049095154,0.9803798484802246,0.018860495090484618,0.019620151519775392
1.E-12,3.2176199340820313,189.33718872070312,0.9921152305603027,0.9921414256095886,0.007884769439697266,0.007858574390411377
