0,0.0345,101.4113,0.0832,0.0825,0.9168,0.9175
1,0.1330,98.7675,0.1362,0.1382,0.8638,0.8618
2,0.2227,95.7887,0.2050,0.2115,0.7950,0.7885
3,0.3129,92.1742,0.2731,0.2777,0.7269,0.7223
4,0.4041,87.8539,0.3517,0.3418,0.6483,0.6582
5,0.5004,82.2692,0.4014,0.4054,0.5986,0.5946
6,0.6034,75.3520,0.4689,0.4794,0.5311,0.5206
7,0.7133,66.5801,0.5324,0.5305,0.4676,0.4695
8,0.8234,56.1901,0.5711,0.5874,0.4289,0.4126
9,0.9321,44.0757,0.6071,0.6379,0.3929,0.3621
10,0.9857,31.9517,0.5769,0.6739,0.4231,0.3261
11,0.9860,21.9710,0.5272,0.7125,0.4728,0.2875
12,0.9973,15.6975,0.5193,0.7230,0.4807,0.2770
13,1.0359,11.9410,0.5069,0.7348,0.4931,0.2652
14,1.0573,9.8169,0.4800,0.7400,0.5200,0.2600
15,1.1148,8.5403,0.5043,0.7518,0.4957,0.2482
16,1.1545,7.9348,0.5324,0.7832,0.4676,0.2168
17,1.2181,7.5920,0.5455,0.8003,0.4545,0.1997
18,1.2782,7.4729,0.5639,0.8062,0.4361,0.1938
19,1.3604,7.4895,0.5769,0.8120,0.4231,0.1880
20,1.3740,7.3967,0.5848,0.8173,0.4152,0.1827
21,1.4357,7.5372,0.5842,0.8310,0.4158,0.1690
22,1.4944,7.5844,0.6280,0.8461,0.3720,0.1539
23,1.5297,7.6124,0.6248,0.8428,0.3752,0.1572
24,1.5691,7.6536,0.6483,0.8481,0.3517,0.1519
25,1.6010,7.7088,0.6555,0.8579,0.3445,0.1421
26,1.6282,7.6220,0.6503,0.8585,0.3497,0.1415
27,1.6607,7.7498,0.6549,0.8592,0.3451,0.1408
28,1.6825,7.7631,0.6686,0.8677,0.3314,0.1323
29,1.7159,7.7631,0.6817,0.8710,0.3183,0.1290
30,1.7498,7.8710,0.6948,0.8730,0.3052,0.1270
31,1.7681,7.8924,0.6922,0.8821,0.3078,0.1179
32,1.8150,7.8443,0.7053,0.8880,0.2947,0.1120
33,1.8147,7.9213,0.6968,0.8965,0.3032,0.1035
34,1.8241,7.9261,0.7027,0.8887,0.2973,0.1113
35,1.8557,7.9479,0.7184,0.8861,0.2816,0.1139
36,1.8597,7.8791,0.7079,0.9024,0.2921,0.0976
37,1.8759,7.9006,0.7354,0.8978,0.2646,0.1022
38,1.8658,7.9336,0.7236,0.9031,0.2764,0.0969
39,1.9216,7.9537,0.7446,0.9050,0.2554,0.0950
40,1.9385,7.9166,0.7466,0.9018,0.2534,0.0982
41,1.9696,8.0238,0.7433,0.9090,0.2567,0.0910
42,1.9365,8.0012,0.7367,0.9057,0.2633,0.0943
43,1.9729,8.0333,0.7531,0.9077,0.2469,0.0923
44,1.9515,8.0369,0.7400,0.9090,0.2600,0.0910
45,1.9545,7.9683,0.7354,0.9188,0.2646,0.0812
46,2.0103,8.0878,0.7564,0.9208,0.2436,0.0792
47,1.9688,8.0142,0.7394,0.9155,0.2606,0.0845
48,1.9836,7.9612,0.7564,0.9155,0.2436,0.0845
49,2.0169,8.0296,0.7734,0.9227,0.2266,0.0773
50,2.0476,8.0381,0.7649,0.9273,0.2351,0.0727
51,2.0316,8.0572,0.7551,0.9227,0.2449,0.0773
52,2.0696,8.0791,0.7800,0.9221,0.2200,0.0779
53,2.0419,8.1049,0.7616,0.9293,0.2384,0.0707
54,2.0412,8.0913,0.7636,0.9306,0.2364,0.0694
55,2.0866,8.0847,0.7813,0.9188,0.2187,0.0812
56,2.1001,8.0982,0.7904,0.9319,0.2096,0.0681
57,2.0889,8.0834,0.7826,0.9371,0.2174,0.0629
58,2.1237,8.1104,0.7931,0.9384,0.2069,0.0616
59,2.1109,8.1279,0.7832,0.9339,0.2168,0.0661
60,2.0692,8.1439,0.7695,0.9293,0.2305,0.0707
61,2.1348,8.1225,0.7937,0.9332,0.2063,0.0668
62,2.1104,8.0683,0.7904,0.9293,0.2096,0.0707
63,2.1527,8.0522,0.7944,0.9339,0.2056,0.0661
64,2.1010,8.0845,0.7793,0.9371,0.2207,0.0629
65,2.1498,8.1109,0.7819,0.9424,0.2181,0.0576
66,2.1844,8.0480,0.8035,0.9430,0.1965,0.0570
67,2.1714,8.0988,0.7983,0.9411,0.2017,0.0589
68,2.1504,8.0853,0.7963,0.9424,0.2037,0.0576
69,2.1540,8.1113,0.7924,0.9371,0.2076,0.0629
70,2.1813,8.0702,0.8101,0.9345,0.1899,0.0655
71,2.1746,8.0972,0.7970,0.9391,0.2030,0.0609
72,2.1603,8.0851,0.7872,0.9391,0.2128,0.0609
73,2.1782,8.1027,0.8009,0.9398,0.1991,0.0602
