0,0.0304,105.2213,0.1778,0.1815,0.8222,0.8185
1,0.1522,105.1259,0.2185,0.2185,0.7815,0.7815
2,0.2694,105.1404,0.2481,0.2481,0.7519,0.7519
3,0.3862,105.2633,0.3185,0.3222,0.6815,0.6778
4,0.5009,105.4020,0.3778,0.3778,0.6222,0.6222
5,0.6157,105.6384,0.4852,0.4852,0.5148,0.5148
6,0.7322,105.8244,0.5630,0.5630,0.4370,0.4370
7,0.8560,106.1348,0.5926,0.5926,0.4074,0.4074
8,0.9787,106.4733,0.6037,0.5963,0.3963,0.4037
9,1.1025,106.8493,0.6296,0.6333,0.3704,0.3667
10,1.2211,107.2334,0.6630,0.6630,0.3370,0.3370
11,1.3431,107.7229,0.6778,0.6815,0.3222,0.3185
12,1.4502,108.1755,0.6926,0.6926,0.3074,0.3074
13,1.5501,108.7371,0.7037,0.7037,0.2963,0.2963
14,1.6466,109.2687,0.7370,0.7370,0.2630,0.2630
15,1.7285,110.0231,0.7481,0.7481,0.2519,0.2519
16,1.8047,110.6405,0.7519,0.7519,0.2481,0.2481
17,1.8666,111.2613,0.7741,0.7741,0.2259,0.2259
18,1.9349,112.0627,0.7741,0.7815,0.2259,0.2185
19,1.9861,112.7607,0.7815,0.7815,0.2185,0.2185
20,2.0362,113.6015,0.7963,0.7889,0.2037,0.2111
21,2.0817,114.3657,0.8000,0.8000,0.2000,0.2000
22,2.1260,115.0188,0.8074,0.8074,0.1926,0.1926
23,2.1613,115.7804,0.8185,0.8185,0.1815,0.1815
24,2.1921,116.5035,0.8148,0.8111,0.1852,0.1889
25,2.2265,117.1961,0.8222,0.8222,0.1778,0.1778
26,2.2506,117.9133,0.8333,0.8296,0.1667,0.1704
27,2.2857,118.4415,0.8333,0.8333,0.1667,0.1667
28,2.3032,119.1313,0.8333,0.8333,0.1667,0.1667
29,2.3313,119.4644,0.8296,0.8296,0.1704,0.1704
30,2.3519,120.1740,0.8370,0.8333,0.1630,0.1667
31,2.3693,120.7587,0.8370,0.8370,0.1630,0.1630
32,2.3907,121.1659,0.8481,0.8444,0.1519,0.1556
33,2.4058,121.8217,0.8407,0.8407,0.1593,0.1593
34,2.4247,122.3520,0.8519,0.8481,0.1481,0.1519
35,2.4399,122.8505,0.8481,0.8519,0.1519,0.1481
36,2.4539,123.3109,0.8444,0.8481,0.1556,0.1519
37,2.4685,123.7436,0.8444,0.8481,0.1556,0.1519
38,2.4803,124.1994,0.8519,0.8556,0.1481,0.1444
39,2.4914,124.7286,0.8519,0.8556,0.1481,0.1444
40,2.5004,125.1347,0.8519,0.8519,0.1481,0.1481
41,2.5130,125.5577,0.8630,0.8593,0.1370,0.1407
42,2.5255,126.0086,0.8593,0.8593,0.1407,0.1407
43,2.5320,126.4195,0.8593,0.8630,0.1407,0.1370
44,2.5434,126.7511,0.8630,0.8630,0.1370,0.1370
45,2.5559,126.9828,0.8630,0.8630,0.1370,0.1370
46,2.5613,127.3926,0.8630,0.8630,0.1370,0.1370
47,2.5730,127.7848,0.8593,0.8593,0.1407,0.1407
48,2.5774,128.3394,0.8630,0.8630,0.1370,0.1370
49,2.5850,128.7870,0.8667,0.8667,0.1333,0.1333
50,2.5898,129.2280,0.8630,0.8630,0.1370,0.1370
51,2.5967,129.7476,0.8667,0.8630,0.1333,0.1370
52,2.6032,130.0278,0.8704,0.8704,0.1296,0.1296
53,2.6107,130.4772,0.8704,0.8704,0.1296,0.1296
54,2.6130,130.7590,0.8667,0.8667,0.1333,0.1333
55,2.6227,131.1134,0.8667,0.8667,0.1333,0.1333
56,2.6296,131.3802,0.8667,0.8667,0.1333,0.1333
57,2.6324,131.7641,0.8667,0.8667,0.1333,0.1333
58,2.6375,132.1545,0.8630,0.8667,0.1370,0.1333
59,2.6395,132.5598,0.8704,0.8704,0.1296,0.1296
60,2.6444,132.8903,0.8667,0.8667,0.1333,0.1333
61,2.6551,133.0728,0.8704,0.8667,0.1296,0.1333
62,2.6516,133.4757,0.8630,0.8667,0.1370,0.1333
63,2.6589,133.7727,0.8630,0.8667,0.1370,0.1333
64,2.6604,134.0560,0.8667,0.8630,0.1333,0.1370
65,2.6642,134.2466,0.8667,0.8667,0.1333,0.1333
66,2.6731,134.5067,0.8630,0.8667,0.1370,0.1333
67,2.6756,134.7420,0.8630,0.8630,0.1370,0.1370
68,2.6791,135.1777,0.8630,0.8667,0.1370,0.1333
69,2.6787,135.4747,0.8704,0.8704,0.1296,0.1296
70,2.6831,135.6223,0.8741,0.8704,0.1259,0.1296
71,2.6881,135.8686,0.8667,0.8704,0.1333,0.1296
72,2.6896,136.2189,0.8704,0.8741,0.1296,0.1259
73,2.6955,136.5786,0.8704,0.8704,0.1296,0.1296
74,2.6987,136.8349,0.8667,0.8704,0.1333,0.1296
75,2.6950,137.2591,0.8667,0.8704,0.1333,0.1296
76,2.6985,137.5258,0.8704,0.8741,0.1296,0.1259
77,2.6997,137.7859,0.8741,0.8741,0.1259,0.1259
78,2.7033,138.0982,0.8704,0.8704,0.1296,0.1296
79,2.7032,138.3167,0.8704,0.8704,0.1296,0.1296
80,2.7073,138.3920,0.8741,0.8741,0.1259,0.1259
81,2.7134,138.5372,0.8704,0.8741,0.1296,0.1259
82,2.7118,138.8372,0.8741,0.8741,0.1259,0.1259
83,2.7155,139.1032,0.8704,0.8741,0.1296,0.1259
84,2.7182,139.3436,0.8741,0.8741,0.1259,0.1259
85,2.7205,139.4569,0.8741,0.8741,0.1259,0.1259
86,2.7197,139.6836,0.8741,0.8741,0.1259,0.1259
87,2.7217,139.7984,0.8741,0.8741,0.1259,0.1259
88,2.7261,139.8806,0.8704,0.8741,0.1296,0.1259
89,2.7274,140.0464,0.8778,0.8741,0.1222,0.1259
90,2.7281,140.2723,0.8778,0.8741,0.1222,0.1259
91,2.7275,140.4677,0.8741,0.8741,0.1259,0.1259
92,2.7310,140.5459,0.8778,0.8741,0.1222,0.1259
93,2.7331,140.7717,0.8704,0.8741,0.1296,0.1259
94,2.7309,141.0265,0.8741,0.8778,0.1259,0.1222
95,2.7327,141.1638,0.8741,0.8741,0.1259,0.1259
96,2.7358,141.2892,0.8741,0.8778,0.1259,0.1222
97,2.7400,141.4607,0.8778,0.8778,0.1222,0.1222
98,2.7371,141.6278,0.8778,0.8778,0.1222,0.1222
99,2.7402,141.7318,0.8704,0.8778,0.1296,0.1222
100,2.7404,141.8884,0.8778,0.8778,0.1222,0.1222
101,2.7431,142.0788,0.8741,0.8778,0.1259,0.1222
102,2.7458,142.1675,0.8741,0.8778,0.1259,0.1222
103,2.7428,142.2869,0.8778,0.8778,0.1222,0.1222
104,2.7455,142.4660,0.8778,0.8778,0.1222,0.1222
105,2.7467,142.6117,0.8741,0.8778,0.1259,0.1222
106,2.7460,142.7456,0.8741,0.8778,0.1259,0.1222
