beta, IZY, IZX, acc, avg_acc, err, avg_err
1.E-0,0.35394844532012937,0.47253790497779846,0.2693123784661293,0.70062868475914,0.7306876215338707,0.29937131524085997
1.E-1,2.714404468536377,7.653807640075684,0.9440078556537628,0.9981532490253449,0.055992144346237185,0.0018467509746551514
1.E-2,3.2196969842910765,21.911882400512695,0.9986902475357056,0.9999214148521424,0.0013097524642944336,7.858514785766602e-05
1.E-3,3.292807769775391,53.84360885620117,0.9999738049507141,1.0,2.6195049285888673e-05,0.0
1.E-4,3.309920463562012,129.05812072753906,1.0,1.0,0.0,0.0
1.E-5,3.3131499910354614,206.7404327392578,1.0,1.0,0.0,0.0
1.E-6,3.311858639717102,261.7327880859375,1.0,1.0,0.0,0.0
1.E-7,3.3135873317718505,263.9285583496094,1.0,1.0,0.0,0.0
1.E-8,3.3135277366638185,295.2474670410156,1.0,1.0,0.0,0.0
1.E-9,3.312338156700134,296.26812744140625,1.0,1.0,0.0,0.0
1.E-10,3.3122848796844484,345.5694580078125,1.0,1.0,0.0,0.0
1.E-11,3.3131813478469847,299.1156311035156,1.0,1.0,0.0,0.0
1.E-12,3.3137591648101807,253.4604034423828,1.0,1.0,0.0,0.0
