beta, IZY, IZX, acc, avg_acc, err, avg_err
beta, IZY, IZX, acc, avg_acc, err, avg_err
1.E-0,0.44885793685913083,0.5207076072692871,0.2944073361158371,0.7844400787353516,0.7055926638841629,0.21555992126464843
1.E-1,2.7600119590759276,7.730311870574951,0.9641388309001923,0.9999738049507141,0.03586116909980774,2.6195049285888673e-05
1.E-2,3.249546241760254,19.127370834350586,0.999515391588211,1.0,0.00048460841178894044,0.0
1.E-3,3.3043212699890137,46.69300842285156,1.0,1.0,0.0,0.0
1.E-4,3.3160326719284057,117.96812438964844,1.0,1.0,0.0,0.0
1.E-5,3.319006018638611,221.7663116455078,1.0,1.0,0.0,0.0
1.E-6,3.319308247566223,302.283935546875,1.0,1.0,0.0,0.0
1.E-7,3.319854063987732,323.4235534667969,1.0,1.0,0.0,0.0
1.E-8,3.31936429977417,340.09222412109375,1.0,1.0,0.0,0.0
1.E-9,3.3195636558532713,347.8482666015625,1.0,1.0,0.0,0.0
1.E-10,3.3192262840270996,368.1919860839844,1.0,1.0,0.0,0.0
1.E-11,3.319601650238037,323.89141845703125,1.0,1.0,0.0,0.0
1.E-12,3.319477605819702,399.0711669921875,1.0,1.0,0.0,0.0
